city,latitude,longitude,number of attacks
Aborey,4.010278,45.681111,1
Abou El Hassen,36.417744,1.195033,2
Aboud,32.016588,35.068798,1
Abqaiq,25.932228,49.664617,1
Abr district,16.133333,47.233333,1
Abra,33.566475,35.406007,2
Abra de Ilog,13.450183,120.733211,1
Abraka,5.789432,6.102347,1
Abrechi,6.2675,-75.568611,1
Abrego,8.083272,-73.224495,7
Abs district,16.005641,43.1925,1
Absar,25.993293,63.089073,1
Abtauda,34.881999,63.837662,1
Abtha,34.533753,43.483738,1
Abu,14.066667,24.55,1
Abu Adh Dhuhur,35.735539,37.105288,4
Abu al Khaseeb,30.451041,47.981308,1
Abu Al Khasib,30.45,47.983333,1
Abu al-Duhan,34.067987,44.946428,1
Abu al-Khasib,30.45,47.983333,6
Abu Bushut,30.580143,47.781882,1
Abu Darujah,34.045002,43.993271,1
Abu Dhabi,24.465123,54.36534,2
Abu Dis,31.763582,35.257722,1
Abu Fishkah,36.05099,43.127462,1
Abu Fleis,33.383576,43.587153,1
Abu Gharah,34.04,44.82,1
Abu Gharaq,32.526944,44.343889,1
Abu Ghraib,33.291944,44.065556,230
Abu Ghraib district,33.304733,44.132883,26
Abu Hadi,31.055868,16.656904,2
Abu Hammad,30.5375,31.678611,1
Abu Hummus,31.097014,30.311429,1
Abu Jabra,11.063277,26.741664,1
Abu Jan,32.680231,67.706977,1
Abu Jubayhah district,11.468654,31.228296,1
Abu Kabir,30.725535,31.669912,3
Abu Kahn,33.465951,70.08861,1
Abu Karma,33.906667,44.724444,1
Abu Karmah,33.906667,44.724444,5
Abu Kershola,12.143723,30.789585,1
Abu Khamis,33.8,44.56667,2
Abu Kibir,30.725416,31.669928,1
Abu Kirkas,27.9308333,30.8363889,1
Abu Maria,36.425,42.5975,1
Abu Matariq district,11.093949,25.794635,1
Abu Mohammed,33.918611,44.921111,1
Abu Najim,30.57594,15.403613,3
Abu Naw,34.967379,71.270315,1
Abu Qala,33.193665,68.102002,1
Abu Qir,31.303535,30.0603,1
Abu Qirqas,27.9308333,30.8363889,1
Abu Qurayn,31.449508,15.254856,1
Abu Qurqas,27.9308333,30.8363889,17
Abu Remmaneh,33.517864,36.285592,1
Abu Roya,32.392528,14.946144,1
Abu Rumayl,14.367141,22.916989,1
Abu Saiba,26.217348,50.504264,1
Abu Sayda,33.927271,44.773299,19
Abu Saydah,33.927271,44.773299,7
Abu Soweir,30.562224,32.111443,1
Abu Taher,14.024307,35.368568,1
Abu Tawilah,31.212717,34.147776,3
Abu Tig,27.04545,31.319309,5
Abu Tor,31.764106,35.23205,1
Abu Zabad,12.354623,29.246158,1
Abu Zabal,30.248908,31.354515,1
Abucay,12.980138,123.650937,1
Abud,32.016539,35.068807,1
Abuja,9.066547,7.483243,18
Abul,15.249762,49.587039,1
Abulagu,8.547469,7.7118,2
Abulug,18.454481,121.439064,1
Abungabung,6.486859,121.913314,1
Abwataw,36.4825,67.220556,1
Abyak,36.263197,68.01993,2
Abyan,13.634345,46.057038,1
Abyei,9.839069,28.486437,6
Acacias district,3.989773,-73.766963,2
Acajutla,13.5927778,-89.8275,1
Acapulco,16.863443,-99.881597,8
Acari,-15.433661,-74.617006,1
Acatenango,14.551944,-90.942222,1
acco,-14.200556,-71.436667,1
Accra,5.55,-0.2,6
Aceh,4.707828,96.732788,5
Aceh Besar,4.707828,96.732788,1
Aceh Besar Regency,4.707828,96.732788,3
Aceh Province,4.707828,96.732788,6
Aceh Singkil district,2.358946,97.87216,1
Acet,2.684235,32.655625,1
Acevedo,1.804883,-75.89077,5
Achabal,33.683444,75.219568,3
Achanbigei,24.87228,93.935521,1
Ache,6.122292,101.734402,1
Acherar,36.723534,6.03629,1
Achham district,29.039622,81.251883,1
Achi district,8.568451,-74.55436,4
Achigachia,11.115797,13.900695,1
Ach'igvara,42.68391,41.63732,1
Achila,10.076885,124.447058,1
Achin,34.08218,70.667035,4
Achin district,34.08218,70.667035,22
Achini,33.964913,71.470436,1
Achini Bala,33.958617,71.464072,3
Achini Khwar,33.986108,71.456974,1
Achini Payan,33.971417,71.468525,1
Achkhoy-Martanovsky (District),42.9624107,45.2476606,2
Acholi Bur,3.141786,32.912829,1
Achowa,2.074838,33.803425,1
Achtum,52.148505,10.006316,1
Acikkoy,37.16552,41.134285,2
Aclan,8.921944,125.290556,1
Acobamba,-12.841951,-74.571139,3
Acocasa,-13.25,-72.216667,1
Acolla,-11.738943,-75.546448,1
Acomayo,-13.952269,-71.653815,1
Acoria,-12.642078,-74.863074,1
Acos Vinchos,-13.112405,-74.099228,3
Acoyapa,11.9666667,-85.166667,6
Acre,32.92947,35.081871,1
Acteal,16.9878,-92.5186,1
Actonville,-26.215024,28.305359,1
Ad Band district,32.9833,67.9666,1
Ad Dabab district,13.555278,43.962778,1
Ad Dabbah,13.387688,44.194593,1
Ad Dali,13.700834,44.731569,20
Adaba,19.488627,84.179268,1
Adadama,5.926697,8.085287,1
Adadkhel,34.247319,70.202316,1
Adado,6.136235,46.62617,3
Adaisseh,33.254428,35.54246,1
Adakli,39.233575,40.481396,1
Adakli district,39.245127,40.571649,1
Adalaide,-32.708468,26.29517,1
Adam Khan,31.817767,64.557478,1
Adam Zai,33.985556,72.159167,1
Adamkulam,8.8075,80.021667,1
Adampan,8.932574,79.997592,1
Adams,18.465387,120.900653,1
Adamu Agyo,8.973316,7.987165,1
Adamu Agyo Fadama Buna,8.973316,7.987165,1
Adan Jiro,3.935663,41.855023,1
Adana,37.006731,35.324115,49
Adavali,19.210846,73.133624,1
Adavi district,7.55,6.233333,2
Adayah,36.206873,42.749049,1
Ad-Damazin,11.800092,34.387633,1
Addi Arkay,13.451821,38.059905,1
Addis Ababa,8.977146,38.773226,34
Ade,12.660471,21.892759,2
Adeila,11.339859,27.002902,1
Adeje,5.680984,5.76371,1
Adeka,7.889016,7.912308,1
Adekar,36.683333,4.666667,4
Adelaide,-34.928726,138.599945,2
Aden,12.852693,44.894836,190
Aderbissinat,15.620232,7.894257,2
Adezai,33.788608,71.575363,3
Adhaim,34.239965,44.510157,33
Adhikari Chowk,27.740711,85.36235,1
Adi Haro,8.489908,40.340706,1
Adi Quala,14.634123,38.832336,1
Adilabad,19.67,78.53,1
Adilabad District,19.67,78.53,1
Adina,34.222651,72.269956,1
Adiyaman,37.764543,38.276758,3
Adjelhoc,19.464991,0.855976,1
Adjumani,3.378381,31.782228,4
Adliya district,26.214488,50.584754,1
Admiralty Island,59.935741,30.313283,1
Ado Ekiti,7.617529,5.218357,1
Ado-Ekiti,7.620713,5.218291,4
Adogo,7.510151,6.478888,1
Adora,31.552267,35.017622,1
Adrar,27.867261,-0.28533,1
Adrar des Ifoghas,18.447574,1.408866,1
Adraskan,33.6435,62.270635,4
Adraskan district,33.6435,62.270635,14
Adre,13.469215,22.192856,4
Aduwari,11.509748,12.978912,2
Adwa,29.3456,30.9164,1
Adwari,2.43306,33.257389,1
Adyge-Khabl,44.3519768,41.9464054,1
Adzvi,42.0869893,44.0945775,1
Aegina,37.746798,23.426758,1
Aeropuerto de Cucuta,7.927696,-72.508479,1
Afa,41.983884,8.796828,1
Afade,12.237964,14.639471,4
Afak,32.062586,45.242835,1
Afang,9.466667,8.683333,1
Affiniam,12.654455,-16.362767,1
Affobakka,5,-54.983333,4
Afghan Tapa,36.533157,65.784839,2
Afghania Dara,34.959743,69.616731,1
Afgoye,2.142498,45.118475,58
Afgoye district,2.192895,45.119684,3
Afir,36.837629,3.995129,2
Aflao,6.115527,1.202036,1
Aflou,35.88906,3.50208,4
Afmadow,0.515556,42.073334,15
Afmadow district,0.515535,42.073327,1
Afouna,11.246551,25.224832,1
Aftis,36.716667,5.558611,1
Afula,32.609885,35.290105,12
Afus,6.059196,124.921614,1
Aga,30.941732,31.293508,1
Agadez,16.974169,7.986535,9
Agali,11.101431,76.647229,1
Aganjara,11.083973,13.682182,1
Agapalwa,11.108032,13.81315,1
Agaraga,7.689167,9.250278,1
Agarpara,22.681352,88.385709,1
agartala,23.831187,91.2865453,12
Agartala district,23.831457,91.286778,1
Agatu district,7.832584,7.869175,1
Agba Okwan Asarama,4.858077,6.920913,1
Agbaou Aheoua,6.223218,-3.906269,1
Agbopura,8.331395,80.976489,1
Agboville,5.933333,-4.216667,1
Agena,7.296174,8.481503,1
Agha Qala,32.740789,67.624498,1
Aghagallon,54.508656,-6.295347,2
Aghajan,32.747617,67.60778,1
Aghal,35.025685,72.337762,1
Aghalee,54.520695,-6.268073,1
Aghayir,34.353209,44.681446,1
Aghione,42.111818,9.398488,1
Agios Georgios,35.106523,32.888111,1
Agishty,43.022778,45.891667,1
Aglar,33.750993,74.851444,1
Agno,16.116214,119.800036,1
Agoitz,42.78579,-1.36801,1
Agoncillo,13.932812,120.933446,1
Agoo,16.325,120.368611,2
Agoro,5.064403,6.125295,1
Agoumar,4.826447,23.06593,1
Agouni Or Charki,36.8046,4.322139,1
Agra,27.220556,77.950509,3
Agreda,41.855076,-1.920437,1
Agri,39.718341,43.048948,1
Agrigento,37.311188,13.576956,2
Agrinio,38.628633,21.412317,1
Agrisaba,4.530027,6.312793,1
Agua Blanca,-6.465996,-78.942078,4
Agua Blanca district,-7.046556,-79.059533,1
Agua Blanca Sur,15.247344,-87.876903,1
Agua Caliente,13.24111,-87.96,9
Agua Clara district,4.11584,-76.19448,1
Agua Fria,12.77074,-86.28627,1
Agua Linda,-23.27609,-63.282961,1
Agua Prieta,31.32212,-109.54136,1
Agua Zarca,13.769185,-88.093265,1
Aguachica,8.30909,-73.617371,14
Aguada,6.697222,121.968611,1
Aguadas,5.613615,-75.457812,1
Aguas Amarillas,13.1209914,-85.671923,1
Aguas Blancas,10.223569,-73.491557,2
Aguas Calientes,13.880321,-86.1678,3
Aguas de Dios,4.376977,-74.670927,1
Aguas Frias,13.42778,-87.933333,1
Aguascalientes,21.881796,-102.29127,2
Aguaytia,-9.036944,-75.5075,6
Aguazul,5.173129,-72.549287,6
Aguelhoc,19.464729,0.854815,16
Aguelhok,19.464933,0.854938,1
Aguenni,36.487299,2.84089,1
Aguid,17.083333,120.9,1
Aguilar,15.833346,120.200196,1
Aguilares,13.9572222,-89.189722,10
Aguinaldo,7.92211,125.846823,1
Agunu,9.998184,7.956361,1
Agustin Codazzi,10.0355,-73.23725,9
Agvali,42.540264,46.122406,2
Agwan Hamidu,9.030978,7.612506,1
Agwan Mamman,9.032764,7.61652,1
Agwan Sule,8.557723,8.323024,1
Agwatashi,8.317161,8.850562,1
Ahangama,6.00194,80.369814,2
Aheimir,33.773349,45.14945,1
Ahem Sharief,34.448698,74.662732,1
Aheri,19.413354,80.00591,5
Ahiapur,26.120888,85.36472,1
Ahl Drea,36.487313,2.84089,1
Ahlat,38.755008,42.487011,1
Ahlen,51.762481,7.88604,1
Ahmad Abad district,33.773611,69.339722,2
Ahmad Khel,33.833333,69.65,3
Ahmad Wal,29.393754,65.94228,2
Ahmadabad,34.8668838,71.7928219,4
Ahmadabad district,33.770778,69.338842,1
Ahmadgarh,30.678,75.827,3
Ahmadkehl,34.217222,70.164444,1
Ahmadzai,35.804295,69.287754,1
Ahmed Wal,29.393754,65.94228,3
Ahmedabad,23.022505,72.571362,9
Ahmedwal,29.395487,65.941486,1
Ahmer El Ain,36.502092,2.580775,1
Ahmeur El-Ain,36.475887,2.566632,1
Ahnif,36.335638,4.26218,6
Ahoada West district,5.043709,6.509747,1
Ahoghill,54.823455,-6.389992,3
Ahuac district,-12.081389,-75.351389,1
Ahuachapan,13.9213889,-89.845,12
Ahuacuotzingo,17.713732,-98.935856,2
Ahvaz,31.285506,48.643416,10
Ahwar,13.51633,46.711048,6
Ahwar district,13.721175,46.759322,1
Aiaccio,41.919229,8.738635,1
Aibol,23.956762,94.042305,1
Aibonito,18.13996,-66.266,1
Aichach,48.457329,11.129194,1
Aija,-9.787375,-77.676518,4
Ailam,34.425637,72.001301,1
Aim Shams district,30.128961,31.331232,1
Ain Adden,35.342531,-0.276396,1
Ain Agba,36.133333,2.916667,1
Ain al Dananir,34.849177,36.885315,1
Ain al-Hilweh,33.542385,35.37912,18
Ain al-Jahash,36.229574,42.236244,3
Ain Arnat Air Base,36.17939,5.325,1
Ain Ba Maabad,14.05,47.9,1
Ain Benian,36.352231,2.390869,4
Ain Berda,36.607959,7.57507,1
Ain Bessam,36.296387,3.66993,3
Ain Bouchekif,35.356388,1.513601,1
Ain Boudinar,36.005394,0.186737,1
Ain Defla,36.266667,1.966667,18
Ain Dema,35.375627,5.905525,1
Ain El Hadid,35.05783,0.88479,1
Ain El Hadjar,36.30694,8.27861,1
Ain el Hammam,36.570507,4.309434,2
Ain El Hamra,36.79778,3.7175,3
Ain El-Ansor,35.694847,-0.633123,1
Ain Ferah,35.391555,0.588845,1
Ain Fezza,34.877977,-1.235957,2
Ain Ghoraba,34.720589,-1.391068,1
Ain Ghreb,35.107778,7.413056,1
Ain Kercha,35.921169,6.699328,2
Ain Lechiakh,36.156944,2.404167,1
Ain Maabed,34.8,3.133333,2
Ain Mara,32.753239,22.385867,1
Ain Merane,36.161648,0.969065,1
Ain Naadja,36.713249,3.085038,1
Ain N'sour,36.35,2.26667,2
Ain Oulmene,35.92296,5.29604,1
Ain Rich,34.680833,4.096944,3
Ain Romana,36.406742,2.690234,1
Ain Sebih,36.679489,6.38752,1
Ain Sebt,36.4818,5.7112,1
Ain Siniya,31.972549,35.228322,1
Ain Smara,36.266667,6.5,1
Ain Soltane,36.27216,1.12741,1
Ain Tagourait,36.603611,2.609444,4
Ain Tanout,36.431483,5.16226,1
Ain Tarik,35.781769,1.132903,1
Ain Taya,36.792625,3.28801,1
Ain Temouchent,35.298989,-1.134537,1
Ain Torki,36.332778,2.301389,1
Ain Touta,35.375627,5.905525,2
Ain Zaouia,36.575333,3.908492,6
Ainak,31.486231,64.321388,1
Ainazi,57.863937,24.360093,1
Aipe,3.221544,-75.237268,1
Airkata,25.955265,90.101326,1
Aishmuqam,33.863371,75.281446,1
Ait Aggouacha,36.617409,4.270127,1
Ait Aissi,36.772158,4.436217,1
Ait Ouabane,36.480332,4.29553,2
Ait Ouarzedine,36.721944,3.913056,2
Ait Saadlah,36.659722,5.485,1
Ait Said,36.42087,4.198719,1
Ait Sidi Maamar,36.683595,4.039469,1
Ait Toudert,36.533147,4.186909,1
Ait Yahia Moussa,36.641111,3.888333,2
Ait Zmenzer,36.646906,4.043306,1
Aitat,33.7916,35.557252,1
Aito Huallaga,-7.294167,-76.568611,1
Aix-en-Provence,43.529742,5.447427,6
Aix-les-Bains,45.692341,5.908998,1
Aiyoeweng,5.929013,101.3658,3
Aizawl,23.727107,92.717639,5
Ajaccio,41.919026,8.738432,189
Ajaokuta,7.556055,6.655,2
Ajas,34.333523,74.6781,1
Ajaylat,32.756944,12.376111,1
Ajbalah,32.114722,44.942778,1
Ajdabiya,30.755556,20.225278,31
Ajeem,33.773349,45.14945,1
Ajgari,26.696457,84.895869,1
Ajiri,11.661151,13.115171,1
Ajiya Wagga,10.890928,13.627589,1
Ajmah,14.515319,44.852594,1
Ajmer,26.449895,74.639916,2
Ajnala,31.84,74.76,5
Ajomachay,-13.257778,-74.396944,1
Ajristan,33.529972,67.215922,1
Ajristan district,33.529032,67.218291,4
Ajuchitl?n del Progreso,18.154182,-100.49966,1
Ajuy,11.166562,123.017078,1
Aka Khel,33.815278,70.925833,8
Aka Khel district,33.917778,71.464444,15
Akakhel,33.8175,70.644722,1
Akaraipattu,7.219392,81.849757,13
Akarca,36.872311,34.414797,1
Akash Nagar,18.671206,81.19628,1
Akashat,33.669239,39.968329,3
Akassa,4.327968,6.063073,1
Akazai,35.616667,63.283333,1
Akazi,35.629232,63.298253,1
Akbar,6.623353,122.250348,2
Akbara,32.940799,35.495406,1
Akbarpura,26.430278,82.536667,3
Akcabuk,41.42366,34.970115,1
Akcay,39.587255,26.92452,2
Akdana,39.98335,43.074294,1
Akdemir,37.276535,37.013742,1
Akdizgin,37.443297,42.003155,1
Akhaura,23.868619,91.209729,1
Akhmim,26.565512,31.745362,1
Akhnoor,32.899523,74.742485,3
Akhorwal,33.732406,71.5066409,1
Akhtar Abad,30.92303,73.681646,2
Akhund,34.36173,70.47034,2
Akhund Baba,35.816667,64.555278,1
Akhund Zada Kalay,31.538075,65.055064,1
Akhundkhel,33.25,67.583333,1
Akita,39.720008,140.102564,1
Akka Khel,33.834943,71.592874,5
Akkakhel,33.9015884,71.4358091,6
Akkar district,34.532876,36.132813,3
Aknada,42.40155,46.17228,1
Akobo,7.790106,33.004466,1
Akoko-Edo district,7.420306,6.171943,1
Akona Khattak,34.000021,72.121624,1
Akora Khattak,34.000659,72.121717,10
Akouda,35.871389,10.569722,1
Akouedo,5.351955,-3.941662,1
Akoupe,6.382882,-3.888034,1
Akpinar,41.282187,28.810209,1
Akr,26.144038,50.609901,1
Akrab,36.232504,4.183216,1
Akraba,32.12752,35.343092,2
Akre,36.741411,43.893264,1
Akri,24.749905,84.370896,1
Akron,41.084195,-81.514059,1
Akrotiri,34.601576,32.955596,2
Aksai,43.575278,46.831944,1
Aksay,43.37254,46.44497,1
Aksu,41.168779,80.260605,2
Aksu district,41.244772,81.594601,4
Aktas,38.241748,39.325413,1
Aktobe,50.283411,57.166301,2
Aktokay,41.184255,79.145401,1
Akuedo,5.351944,-3.941667,1
Akure,7.25,5.195,2
Akuressa,6.100359,80.476048,4
Akureyri,65.683368,-18.10008,1
Akurugoda,5.998612,80.494714,1
Akututuru district,4.561389,6.751944,1
Akuzo,12.404778,6.614351,1
Akwanga,8.906292,8.408493,2
Al Aouana,36.775,5.599722,1
Al Bira,31.913318,35.222081,1
Al Busleibi,33.773349,45.14945,1
Al Dahouni,33.773349,45.14945,1
Al Fashir,13.62997,25.350198,4
Al Jibour,34.05917,44.215885,1
Al Junaynah,13.450095,22.449929,9
Al Khidr,32.282349,35.196279,1
Al Maghazi,31.416771,34.395165,1
Al Mahbes,27.414207,-9.046555,1
Al Muhajiriyah,10.133262,27.566878,1
Al Shati,31.537857,34.45499,1
Ala,15.411662,12.765904,1
Al-A'amiriya,33.197222,43.908611,2
Alab,17.086235,120.974179,2
Al-Abbarah,33.8144,44.6579,4
Al-Abbasi,35.27615,43.59217,3
Alabel,6.103948,125.291403,5
Alabiao,17.749692,121.478416,1
Al-Abr district,16.136157,47.233939,2
Al-Abyar,32.188889,20.596667,2
Alacakaya,38.461835,39.861713,1
Alacik,39.232506,39.725955,1
Al-Adheim,33.795982,44.65456,1
Alagarno,10.708482,12.739788,2
Alagatan,8.743889,125.066605,1
Al-Ahnaf village,35.466667,44.316667,1
Al-Ahnum district,16.282222,43.745833,1
Alakamis,37.159472,41.78842,1
Al-Akar,26.143685,50.60289,1
Al-Akhor,32.426662,65.258576,1
Al-Akla,15.19,46.7338,1
Alakyo,8.585361,8.319978,1
Al-Alam,34.709277,43.69508,1
Al-Ali,33.98333,45.048731,1
Alam,34.666469,43.700442,8
Alam Kala,33.421827,68.578186,1
Alam Khel,32.839077,67.853264,1
Alam Lek,37.018135,65.954552,1
Alamada,7.332382,124.567276,8
Alamdanga,23.761702,88.943667,3
Al-Amiriya,13.651708,24.103136,1
Alamogordo,32.89925,-105.96032,1
Alampil,9.18158,80.846082,1
Alamudun,42.699727,74.546328,1
Alan,37.298954,44.756923,1
Al-Anad,13.17824,44.76678,3
Al-Anaz,33.291976,44.06564,1
Al-Andalus,33.421918,43.30411,1
Alankerni,7.966667,81.466667,1
Alanya,36.542883,31.995601,1
Alappuzha,9.498067,76.338848,1
Al-Arabi,36.404836,43.118895,1
Al-Aram,14.223866,47.082782,1
Al-Arifiyah,33.203366,44.514582,1
al-Arish,31.129945,33.804742,3
Al-Arous,13.5,43.966667,1
Al-Arroub,31.622602,35.138126,1
Al-Arrub,31.622659,35.138094,1
Al-Asal,35.451722,44.097407,1
Alasay district,34.844218,69.931212,6
Alaska,6.025,-71.7028,1
Al-Askari,34.88562,44.639339,1
Al-Asoud,33.773349,45.14945,1
Al-Aswad,33.978697,44.937106,1
Alat,6.050894,120.993495,1
Alatmur,10.900763,30.069372,1
Al-Atshanah,35.159893,44.30555,1
Alau,27.027362,84.841748,2
Alau Ngawa Fate,11.722177,13.282767,1
Alauca,13.852833,-86.685301,1
Alava,42.909999,-2.698387,1
Alavai South,9.8,80.2,1
Alaveddy,9.748187,80.019698,1
Alawa,10.326373,6.656488,1
Alawalpur,31.432514,75.655905,1
Al-Awamiyah,26.55905,49.995689,3
Alawatuwala,7.460833,80.568611,2
Al-Awjah,34.501541,43.749444,1
Alawna,13.052234,25.527483,1
Alawudin-Mangal,36.252582,68.686209,1
Alawwa,7.296896,80.23492,1
Alayao,14.273975,122.597398,1
Al-Azayziyah,35.084499,44.323656,1
Al-Azim,34.275278,44.538335,2
Al-Ba'aj,35.713266,41.760647,1
Al-Bab,36.372393,37.517753,2
Albacete,38.997652,-1.86007,1
al-Badari,26.9922222,31.4152778,4
Al-Badrashayn district,29.850425,31.266833,1
Albaghdadi,33.849991,42.549529,1
Al-Baghdadi,33.85,42.55,26
Al-Baghla,30.15003,16.921525,1
Al-Bahi,29.738753,17.291251,1
Albakan,32.666404,65.903629,1
Alban,4.877025,-74.437413,1
Albania,5.758643,-73.915268,3
Albany,42.651445,-73.755254,1
Al-Barka,6.491326,122.143443,1
Al-Basiyah,30.11385,46.108814,1
Al-Batha,31.135535,45.861207,1
Al-Bazool,33.971932,44.930731,1
Al-Bazul,33.751401,44.589845,1
Albela Chowk,24.893379,67.423056,1
Alberton,-26.267342,28.121495,4
Albina,5.496546,-54.053794,6
Al-Bir,33.49112,44.487265,1
al-Bireh,31.912559,35.221715,2
Albohushma,33.983367,44.350763,1
Albu Ajil,34.581567,43.725543,6
Albu Ali Jassim,33.508832,43.221448,1
Albu Alwan,33.438954,44.020691,2
Albu Amir,33.152144,44.205237,1
Albu Awad,34.216075,44.452606,1
Albu Ayfan,34.013651,44.192644,1
Albu Ayshah,33.471111,43.374167,1
Albu Aythah,33.468018,43.327589,1
Albu Bali,33.462038,43.474684,1
Albu Delma,33.457276,43.250375,1
Albu Diab,33.449415,43.264244,2
Albu Faraj,33.448058,43.287971,8
Albu Ghanim,33.453056,43.3725,1
Albu Hasan,35.143172,44.446499,1
Albu Hawa,33.164486,43.864934,1
Albu Hayat,33.191915,40.040256,2
Albu Issa,33.520717,44.024424,1
Albu Jahash,36.230981,42.241573,1
Albu Jasim,33.50932,43.220707,1
Albu Jawari,34.133781,44.221014,2
Albu Kamal,34.452182,40.91937,1
Albu Khadu,34.593026,43.954452,1
Albu Khalifah,33.416667,43.3,1
Albu Musa,33.94857,44.915994,1
Albu Nemir,34.533753,43.483738,1
Albu Sayf,36.272751,43.161176,7
Albu Slaib,34.129853,44.362278,1
Albu Souda,33.455649,43.341365,7
Albu Tamah,34.829869,43.518133,2
Albu Tumah,34.820455,43.550298,3
Albu Ubayd,34.646884,43.714248,1
Albuera,10.916619,124.699994,1
Albu-Hashmah,34.02194,44.136831,2
Al-Buhayrat,32.908383,44.263295,1
Al-Bukamal,34.465326,40.908183,1
Al-Buqah,30.476944,35.520556,1
Albuquerque,35.08418,-106.64864,11
Al-Buraq,35.135796,37.020739,1
Albu-Sulaibi,34.610827,43.455734,1
Al-Buweida,33.5111,36.3064,1
Alcala,4.67451,-75.78425,1
Alcala de Henares,40.481663,-3.364136,1
Alchevsk,48.47805,38.798025,1
Alchin,37.137778,69.040833,1
Alcolea,37.932187,-4.672969,1
Al-Dalouiya,34.058739,44.217138,1
Al-Dalwah,25.401363,49.684118,1
Al-Dama-Shika,15.40723,45.090344,1
Al-Damashqa,15.515888,45.449806,1
Al-Dana,36.218403,36.768484,1
Al-Dayr,31.656774,35.025652,1
Al-Debis,35.46883,44.39098,2
Aldeia do Biopio,-12.471557,13.73111,8
Aldergrove,54.649447,-6.213575,1
Al-Dubat,31.989167,44.924722,1
Al-Dulaya,34.055387,44.219499,1
Al-Dur district,34.440817,44.172027,2
Aleem Gar,34.565494,71.477429,1
Alegria,13.5,-88.483333,9
Alei Sinai,31.583506,34.502314,1
Alei Zahav,32.072295,35.064118,2
Al-Eion,36.483182,37.197754,1
Alejandria,6.37808,-75.142101,1
Alekan,37.526944,44.168889,1
Aleksandrovsk,48.585214,39.184383,1
